site,lat,lon
1_10,21.4311111252755,-157.784444410354
1_2,21.4194444380701,-157.772777806968
1_3,21.4283332787454,-157.783611081541
1_4,21.4278519898653,-157.783738989383
1_6,21.4366667345166,-157.791944369674
1_9,21.4313889015466,-157.784444410354
2_1,21.4519959781319,-157.79558303766
2_2,21.4494443591684,-157.796111097559
2_3,21.4381649997085,-157.801551958546
2_4,21.4552778284997,-157.796944426373
2_7,21.4509710390121,-157.7954220213
2_8,21.4546040073037,-157.797459997237
3_2,21.4703629910946,-157.819559974596
3_3,21.4705556072295,-157.821111129597
3_4,21.460582986474,-157.82271400094
3_5,21.4669444318861,-157.821666682139
3_6,21.469444418326,-157.821111129597
3_7,21.4674999844283,-157.821666682139
4_11,21.4769443776458,-157.833055593073
4_14,21.4769443776458,-157.826388878748
4_4,21.4768209960312,-157.825467037037
4_5,21.4745824411511,-157.822564383969
4_6,21.4796089846641,-157.833929993212
4_8,21.4766380190849,-157.825517999008
5_1,21.4925000164658,-157.841944433749
5_2,21.4868429861963,-157.827917989343
5_3,21.4922222401947,-157.82944441773
5_6,21.4907109830528,-157.827671980485
5_7,21.4896589703858,-157.828176990151
5_8,21.49325103499,-157.828651992604
NERRS-A,21.4459879975766,-157.801714986563
